last_name,first_name,display_name,tournament,year,round,tour
Bautista Agut,Roberto,Roberto Bautista Agut,Australian Open,2019,R16,ATP
Berdych,Tomas,Tomas Berdych,Australian Open,2019,R16,ATP
Carreno Busta,Pablo,Pablo Carreno Busta,Australian Open,2019,R16,ATP
Cilic,Marin,Marin Cilic,Australian Open,2019,R16,ATP
Coric,Borna,Borna Coric,Australian Open,2019,R16,ATP
Dimitrov,Grigor,Grigor Dimitrov,Australian Open,2019,R16,ATP
Djokovic,Novak,Novak Djokovic,Australian Open,2019,R16,ATP
Federer,Roger,Roger Federer,Australian Open,2019,R16,ATP
Medvedev,Daniil,Daniil Medvedev,Australian Open,2019,R16,ATP
Nadal,Rafael,Rafael Nadal,Australian Open,2019,R16,ATP
Nishikori,Kei,Kei Nishikori,Australian Open,2019,R16,ATP
Pouille,Lucas,Lucas Pouille,Australian Open,2019,R16,ATP
Raonic,Milos,Milos Raonic,Australian Open,2019,R16,ATP
Tiafoe,Frances,Frances Tiafoe,Australian Open,2019,R16,ATP
Tsitsipas,Stefanos,Stefanos Tsitsipas,Australian Open,2019,R16,ATP
Zverev,Alexander,Alexander Zverev,Australian Open,2019,R16,ATP
Bautista Agut,Roberto,Roberto Bautista Agut,Australian Open,2019,QF,ATP
Djokovic,Novak,Novak Djokovic,Australian Open,2019,QF,ATP
Nadal,Rafael,Rafael Nadal,Australian Open,2019,QF,ATP
Nishikori,Kei,Kei Nishikori,Australian Open,2019,QF,ATP
Pouille,Lucas,Lucas Pouille,Australian Open,2019,QF,ATP
Raonic,Milos,Milos Raonic,Australian Open,2019,QF,ATP
Tiafoe,Frances,Frances Tiafoe,Australian Open,2019,QF,ATP
Tsitsipas,Stefanos,Stefanos Tsitsipas,Australian Open,2019,QF,ATP
Djokovic,Novak,Novak Djokovic,Australian Open,2019,SF,ATP
Nadal,Rafael,Rafael Nadal,Australian Open,2019,SF,ATP
Pouille,Lucas,Lucas Pouille,Australian Open,2019,SF,ATP
Tsitsipas,Stefanos,Stefanos Tsitsipas,Australian Open,2019,SF,ATP
Djokovic,Novak,Novak Djokovic,Australian Open,2019,F,ATP
Nadal,Rafael,Rafael Nadal,Australian Open,2019,F,ATP
Djokovic,Novak,Novak Djokovic,Australian Open,2019,W,ATP
Anisimova,Amanda,Amanda Anisimova,Australian Open,2019,R16,WTA
Barty,Ashleigh,Ashleigh Barty,Australian Open,2019,R16,WTA
Collins,Danielle,Danielle Collins,Australian Open,2019,R16,WTA
Halep,Simona,Simona Halep,Australian Open,2019,R16,WTA
Kerber,Angelique,Angelique Kerber,Australian Open,2019,R16,WTA
Keys,Madison,Madison Keys,Australian Open,2019,R16,WTA
Kvitova,Petra,Petra Kvitova,Australian Open,2019,R16,WTA
Muguruza,Garbine,Garbine Muguruza,Australian Open,2019,R16,WTA
Osaka,Naomi,Naomi Osaka,Australian Open,2019,R16,WTA
Pavlyuchenkova,Anastasia,Anastasia Pavlyuchenkova,Australian Open,2019,R16,WTA
Pliskova,Karolina,Karolina Pliskova,Australian Open,2019,R16,WTA
Sevastova,Anastasija,Anastasija Sevastova,Australian Open,2019,R16,WTA
Sharapova,Maria,Maria Sharapova,Australian Open,2019,R16,WTA
Stephens,Sloane,Sloane Stephens,Australian Open,2019,R16,WTA
Svitolina,Elina,Elina Svitolina,Australian Open,2019,R16,WTA
Williams,Serena,Serena Williams,Australian Open,2019,R16,WTA
Barty,Ashleigh,Ashleigh Barty,Australian Open,2019,QF,WTA
Collins,Danielle,Danielle Collins,Australian Open,2019,QF,WTA
Kvitova,Petra,Petra Kvitova,Australian Open,2019,QF,WTA
Osaka,Naomi,Naomi Osaka,Australian Open,2019,QF,WTA
Pavlyuchenkova,Anastasia,Anastasia Pavlyuchenkova,Australian Open,2019,QF,WTA
Pliskova,Karolina,Karolina Pliskova,Australian Open,2019,QF,WTA
Svitolina,Elina,Elina Svitolina,Australian Open,2019,QF,WTA
Williams,Serena,Serena Williams,Australian Open,2019,QF,WTA
Collins,Danielle,Danielle Collins,Australian Open,2019,SF,WTA
Kvitova,Petra,Petra Kvitova,Australian Open,2019,SF,WTA
Osaka,Naomi,Naomi Osaka,Australian Open,2019,SF,WTA
Pliskova,Karolina,Karolina Pliskova,Australian Open,2019,SF,WTA
Kvitova,Petra,Petra Kvitova,Australian Open,2019,F,WTA
Osaka,Naomi,Naomi Osaka,Australian Open,2019,F,WTA
Osaka,Naomi,Naomi Osaka,Australian Open,2019,W,WTA
Djokovic,Novak,Novak Djokovic,French Open,2019,R16,ATP
Federer,Roger,Roger Federer,French Open,2019,R16,ATP
Fognini,Fabio,Fabio Fognini,French Open,2019,R16,ATP
Ignacio Londero,Juan,Juan Ignacio Londero,French Open,2019,R16,ATP
Khachanov,Karen,Karen Khachanov,French Open,2019,R16,ATP
Lennard Struff,Jan,Jan Lennard Struff,French Open,2019,R16,ATP
Martin del Potro,Juan,Juan Martin del Potro,French Open,2019,R16,ATP
Mayer,Leonardo,Leonardo Mayer,French Open,2019,R16,ATP
Monfils,Gael,Gael Monfils,French Open,2019,R16,ATP
Nadal,Rafael,Rafael Nadal,French Open,2019,R16,ATP
Nishikori,Kei,Kei Nishikori,French Open,2019,R16,ATP
Paire,Benoit,Benoit Paire,French Open,2019,R16,ATP
Thiem,Dominic,Dominic Thiem,French Open,2019,R16,ATP
Tsitsipas,Stefanos,Stefanos Tsitsipas,French Open,2019,R16,ATP
Wawrinka,Stan,Stan Wawrinka,French Open,2019,R16,ATP
Zverev,Alexander,Alexander Zverev,French Open,2019,R16,ATP
Djokovic,Novak,Novak Djokovic,French Open,2019,QF,ATP
Federer,Roger,Roger Federer,French Open,2019,QF,ATP
Khachanov,Karen,Karen Khachanov,French Open,2019,QF,ATP
Nadal,Rafael,Rafael Nadal,French Open,2019,QF,ATP
Nishikori,Kei,Kei Nishikori,French Open,2019,QF,ATP
Thiem,Dominic,Dominic Thiem,French Open,2019,QF,ATP
Wawrinka,Stan,Stan Wawrinka,French Open,2019,QF,ATP
Zverev,Alexander,Alexander Zverev,French Open,2019,QF,ATP
Djokovic,Novak,Novak Djokovic,French Open,2019,SF,ATP
Federer,Roger,Roger Federer,French Open,2019,SF,ATP
Nadal,Rafael,Rafael Nadal,French Open,2019,SF,ATP
Thiem,Dominic,Dominic Thiem,French Open,2019,SF,ATP
Nadal,Rafael,Rafael Nadal,French Open,2019,F,ATP
Thiem,Dominic,Dominic Thiem,French Open,2019,F,ATP
Nadal,Rafael,Rafael Nadal,French Open,2019,W,ATP
Anisimova,Amanda,Amanda Anisimova,French Open,2019,R16,WTA
Barty,Ashleigh,Ashleigh Barty,French Open,2019,R16,WTA
Bolsova,Aliona,Aliona Bolsova,French Open,2019,R16,WTA
Halep,Simona,Simona Halep,French Open,2019,R16,WTA
Kanepi,Kaia,Kaia Kanepi,French Open,2019,R16,WTA
Kenin,Sofia,Sofia Kenin,French Open,2019,R16,WTA
Keys,Madison,Madison Keys,French Open,2019,R16,WTA
Konta,Johanna,Johanna Konta,French Open,2019,R16,WTA
Martic,Petra,Petra Martic,French Open,2019,R16,WTA
Muguruza,Garbine,Garbine Muguruza,French Open,2019,R16,WTA
Sevastova,Anastasija,Anastasija Sevastova,French Open,2019,R16,WTA
Siniakova,Katerina,Katerina Siniakova,French Open,2019,R16,WTA
Stephens,Sloane,Sloane Stephens,French Open,2019,R16,WTA
Swiatek,Iga,Iga Swiatek,French Open,2019,R16,WTA
Vekic,Donna,Donna Vekic,French Open,2019,R16,WTA
Vondrousova,Marketa,Marketa Vondrousova,French Open,2019,R16,WTA
Anisimova,Amanda,Amanda Anisimova,French Open,2019,QF,WTA
Barty,Ashleigh,Ashleigh Barty,French Open,2019,QF,WTA
Halep,Simona,Simona Halep,French Open,2019,QF,WTA
Keys,Madison,Madison Keys,French Open,2019,QF,WTA
Konta,Johanna,Johanna Konta,French Open,2019,QF,WTA
Martic,Petra,Petra Martic,French Open,2019,QF,WTA
Stephens,Sloane,Sloane Stephens,French Open,2019,QF,WTA
Vondrousova,Marketa,Marketa Vondrousova,French Open,2019,QF,WTA
Anisimova,Amanda,Amanda Anisimova,French Open,2019,SF,WTA
Barty,Ashleigh,Ashleigh Barty,French Open,2019,SF,WTA
Konta,Johanna,Johanna Konta,French Open,2019,SF,WTA
Vondrousova,Marketa,Marketa Vondrousova,French Open,2019,SF,WTA
Barty,Ashleigh,Ashleigh Barty,French Open,2019,F,WTA
Vondrousova,Marketa,Marketa Vondrousova,French Open,2019,F,WTA
Barty,Ashleigh,Ashleigh Barty,French Open,2019,W,WTA
Andujar,Pablo,Pablo Andujar,US Open,2019,R16,ATP
Berrettini,Matteo,Matteo Berrettini,US Open,2019,R16,ATP
Cilic,Marin,Marin Cilic,US Open,2019,R16,ATP
De Minaur,Alex,Alex De Minaur,US Open,2019,R16,ATP
Dimitrov,Grigor,Grigor Dimitrov,US Open,2019,R16,ATP
Djokovic,Novak,Novak Djokovic,US Open,2019,R16,ATP
Federer,Roger,Roger Federer,US Open,2019,R16,ATP
Goffin,David,David Goffin,US Open,2019,R16,ATP
Koepfer,Dominik,Dominik Koepfer,US Open,2019,R16,ATP
Medvedev,Daniil,Daniil Medvedev,US Open,2019,R16,ATP
Monfils,Gael,Gael Monfils,US Open,2019,R16,ATP
Nadal,Rafael,Rafael Nadal,US Open,2019,R16,ATP
Rublev,Andrey,Andrey Rublev,US Open,2019,R16,ATP
Schwartzman,Diego,Diego Schwartzman,US Open,2019,R16,ATP
Wawrinka,Stan,Stan Wawrinka,US Open,2019,R16,ATP
Zverev,Alexander,Alexander Zverev,US Open,2019,R16,ATP
Berrettini,Matteo,Matteo Berrettini,US Open,2019,QF,ATP
Dimitrov,Grigor,Grigor Dimitrov,US Open,2019,QF,ATP
