last_name,first_name,display_name,goals
Kitson,Paul,Paul Kitson,28
Mac Allister,Alexis,Alexis Mac Allister,28
Martins,Obafemi,Obafemi Martins,28
Milivojevic,Luka,Luka Milivojevic,28
N'Zogbia,Charles,Charles N'Zogbia,28
Redmond,Nathan,Nathan Redmond,28
Rémy,Loïc,Loïc Rémy,28
van Dijk,Virgil,Virgil van Dijk,28
Wilson,Harry,Harry Wilson,28
Abraham,Tammy,Tammy Abraham,27
Davies,Simon,Simon Davies,27
Diouf,Mame,Mame Diouf,27
Hendrie,Lee,Lee Hendrie,27
Johansson,Jonatan,Jonatan Johansson,27
Lanzini,Manuel,Manuel Lanzini,27
Moreno Machado,Rodrigo,Rodrigo,27
Shipperley,Neil,Neil Shipperley,27
Whittingham,Guy,Guy Whittingham,27
Wijnaldum,Georginio,Georginio Wijnaldum,27
Almeida da Cunha,Luís Carlos,Nani,26
Alonso,Marcos,Marcos Alonso,26
Anichebe,Victor,Victor Anichebe,26
Barton,Joey,Joey Barton,26
Cabaye,Yohan,Yohan Cabaye,26
Gayle,Dwight,Dwight Gayle,26
Gibbs-White,Morgan,Morgan Gibbs-White,26
Johnson,Brennan,Brennan Johnson,26
Larsson,Sebastian,Sebastian Larsson,26
Mwaruwari,Benjamin,Benjani,26
Santa Cruz,Roque,Roque Santa Cruz,26
Snodgrass,Robert,Robert Snodgrass,26
Stanislas,Junior,Junior Stanislas,26
Stewart,William Marcus,Marcus Stewart,26
Tielemans,Youri,Youri Tielemans,26
Townsend,Andros,Andros Townsend,26
Watson,Steve,Steve Watson,26
White,David,David White,26
Adams,Ché,Ché Adams,25
Booth,Andy,Andy Booth,25
Cazorla,Santi,Santi Cazorla,25
Fjørtoft,Jan Åge,Jan Åge Fjørtoft,25
Gallas,William,William Gallas,25
Harrison,Jack,Jack Harrison,25
Jeffers,Francis,Francis Jeffers,25
Núñez,Darwin,Darwin Núñez,25
Overmars,Marc,Marc Overmars,25
Quinn,Mick,Mick Quinn,25
Ravanelli,Fabrizio,Fabrizio Ravanelli,25
Rice,Declan,Declan Rice,25
Robins,Mark,Mark Robins,25
Sané,Leroy,Leroy Sané,25
Sarr,Ismaïla,Ismaïla Sarr,25
Sessègnon,Stéphane,Stéphane Sessègnon,25
Stone,Steve,Steve Stone,25
Apolinário de Lira,Joelinton Cássio,Joelinton,24
Bamford,Patrick,Patrick Bamford,24
Bartlett,Shaun,Shaun Bartlett,24
Brunt,Chris,Chris Brunt,24
Carrick,Michael,Michael Carrick,24
Dicks,Julian,Julian Dicks,24
Flitcroft,Garry,Garry Flitcroft,24
Holt,Grant,Grant Holt,24
Hwang,Hee-Chan,Hwang Hee-Chan,24
Jackson,Nicolas,Nicolas Jackson,24
Lua Lua Lomana,Tresor,Lomana Lua Lua,24
Nketiah,Eddie,Eddie Nketiah,24
Parker,Scott,Scott Parker,24
Puncheon,Jason,Jason Puncheon,24
Richardson,Kieran,Kieran Richardson,24
Roy,Bryan,Bryan Roy,24
Valencia,Antonio,Antonio Valencia,24
van der Vaart,Rafael,Rafael van der Vaart,24
Yeboah,Anthony,Anthony Yeboah,24
Almirón,Miguel,Miguel Almirón,23
Arshavin,Andrey,Andrey Arshavin,23
Berahino,Saido,Saido Berahino,23
Blake,Nathan,Nathan Blake,23
Chapman,Lee,Lee Chapman,23
Delap,Rory,Rory Delap,23
Dyer,Kieron,Kieron Dyer,23
Fletcher,Darren,Darren Fletcher,23
Gray,Andre,Andre Gray,23
Hernández Cascante,Rodrigo,Rodri,23
Lescott,Joleon,Joleon Lescott,23
McArthur,James,James McArthur,23
Nemeth,Szilard,Szilard Nemeth,23
Pellè,Graziano,Graziano Pellè,23
Petrescu,Dan,Dan Petrescu,23
Robert,Laurent,Laurent Robert,23
Shelvey,Jonjo,Jonjo Shelvey,23
Watson,Gordon,Gordon Watson,23
Ashton,Dean,Dean Ashton,22
Atkinson,Dalian,Dalian Atkinson,22
Bart-Williams,Chris,Chris Bart-Williams,22
Boksic,Alen,Alen Boksic,22
Bridges,Michael,Michael Bridges,22
Burton,Deon,Deon Burton,22
Coleman,Séamus,Séamus Coleman,22
Elliott,Matt,Matt Elliott,22
Greenwood,Mason,Mason Greenwood,22
Hyypiä,Sami,Sami Hyypiä,22
Ivanovic,Branislav,Branislav Ivanovic,22
Koscielny,Laurent,Laurent Koscielny,22
Kulusevski,Dejan,Dejan Kulusevski,22
Mido,Ahmed Hossam,Mido,22
Mitoma,Kaoru,Kaoru Mitoma,22
Murphy,Jacob,Jacob Murphy,22
Newell,Mike,Mike Newell,22
Origi,Divock,Divock Origi,22
Pedersen,Henrik,Henrik Pedersen,22
Pukki,Teemu,Teemu Pukki,22
Schlupp,Jeffrey,Jeffrey Schlupp,22
Shaqiri,Xherdan,Xherdan Shaqiri,22
Sharpe,Lee,Lee Sharpe,22
Ayew,André,André Ayew,21
Balotelli,Mario,Mario Balotelli,21
Chadli,Nacer,Nacer Chadli,21
da Silva Neves,Rúben Diogo,Rúben Neves,21
Dawson,Craig,Craig Dawson,21
De Cordova-Reid,Bobby,Bobby De Cordova-Reid,21
dos Santos Emboaba Junior,Oscar,Oscar,21
Etherington,Matthew,Matthew Etherington,21
Frello Filho,Jorge Luiz,Jorginho,21
Ginola,David,David Ginola,21
Hunt,Stephen,Stephen Hunt,21
Huth,Robert,Robert Huth,21
Kiwomya,Chris,Chris Kiwomya,21
Kluivert,Justin,Justin Kluivert,21
McNeil,Dwight,Dwight McNeil,21
Ricketts,Michael,Michael Ricketts,21
Riise,John Arne,John Arne Riise,21
Scharner,Paul,Paul Scharner,21
Sidwell,Steve,Steve Sidwell,21
Smith Rowe,Emile,Emile Smith Rowe,21
Soares de Paulo,Douglas Luiz,Douglas Luiz,21
Stein,Mark,Mark Stein,21
Vialli,Gianluca,Gianluca Vialli,21
Albrighton,Marc,Marc Albrighton,20
Allen,Bradley,Bradley Allen,20
Alvarez,Julián,Julián Alvarez,20
Campbell,Sol,Sol Campbell,20
Clough,Nigel,Nigel Clough,20
Crespo,Hernán,Hernán Crespo,20
Deulofeu,Gerard,Gerard Deulofeu,20
dos Santos Magalhães,Gabriel,Gabriel Magalhães,20
Dozzell,Jason,Jason Dozzell,20
Fashanu,John,John Fashanu,20
Giannakopoulos,Stelios,Stelios Giannakopoulos,20
Hudson-Odoi,Callum,Callum Hudson-Odoi,20
Jarvis,Matthew,Matthew Jarvis,20
Jensen,Claus,Claus Jensen,20
John,Collins,Collins John,20
Klasnic,Ivan,Ivan Klasnic,20
Kranjcar,Niko,Niko Kranjcar,20
Lomba Neto,Pedro,Pedro Neto,20
McFadden,James,James McFadden,20
McGinn,John,John McGinn,20
Moore,Luke,Luke Moore,20
Moses,Victor,Victor Moses,20
Oxlade-Chamberlain,Alex,Alex Oxlade-Chamberlain,20
Parlour,Ray,Ray Parlour,20
Pavlyuchenko,Roman,Roman Pavlyuchenko,20
Pearce,Stuart,Stuart Pearce,20
Perez Cuesta,Miguel,Michu,20
Pienaar,Steven,Steven Pienaar,20
Pulisic,Christian,Christian Pulisic,20
Rodrigues Moura da Silva,Lucas,Lucas Moura,20
